model,dimension,group,hit_rate,pval,n,flagged,flag_reason
logistic_regime,ticker,USO,0.5850891410048622,2.7127831555227718e-05,617,False,
logistic_regime,ticker,XLB,0.5445705024311183,0.02962600937115537,617,False,
logistic_regime,ticker,XLC,0.546191247974068,0.02408807527767752,617,False,
logistic_regime,ticker,XLE,0.5235008103727715,0.2596247578760467,617,False,
logistic_regime,ticker,XLF,0.47649918962722854,0.2596247578760467,617,False,
logistic_regime,ticker,XLI,0.5283630470016207,0.17101497409083055,617,False,
logistic_regime,ticker,XLK,0.6434359805510534,9.74777366122605e-13,617,False,
logistic_regime,ticker,XLP,0.5640194489465153,0.0016668889765625503,617,False,
logistic_regime,ticker,XLRE,0.5170178282009724,0.4207439823475771,617,False,
logistic_regime,ticker,XLU,0.5656401944894651,0.0012606929501765075,617,False,
logistic_regime,ticker,XLV,0.5721231766612642,0.00038770499527201265,617,False,
logistic_regime,ticker,XLY,0.48946515397082657,0.6290590742036524,617,False,
logistic_regime,regime,crisis,0.5364431486880467,0.0010170720189523965,2058,False,
logistic_regime,regime,neutral,0.4644616467276566,3.7055821389575144e-06,4263,False,
logistic_regime,regime,risk_off,0.594920634920635,5.028117134147981e-14,1575,False,
logistic_regime,regime,risk_on,0.5475974614687217,2.7420236580464323e-10,4412,False,
lstm_base,year,2023,0.5401662049861495,0.033822716089175364,722,False,
lstm_base,year,2024,0.5150523560209425,0.04301227095157258,4584,False,
lstm_base,year,2025,0.5151915455746368,0.04205981227470351,4542,False,
lstm_base,year,2026,0.5696926375982845,2.0496262632699156e-07,1399,False,
lstm_base,ticker,DBA,0.47547169811320755,0.27749632492574383,530,False,
lstm_base,ticker,GLD,0.33584905660377357,3.380655328568026e-14,530,True,hit_rate < 0.45
lstm_base,ticker,HYG,0.47735849056603774,0.3177678180803487,530,False,
lstm_base,ticker,IEF,0.469811320754717,0.17806854106655565,530,False,
lstm_base,ticker,IWM,0.5792452830188679,0.0003036668104678845,530,False,
lstm_base,ticker,LQD,0.47358490566037736,0.240846368925329,530,False,
lstm_base,ticker,QQQ,0.5415094339622641,0.06168785725470056,530,False,
lstm_base,ticker,SPY,0.5480225988700564,0.029925022454466932,531,False,
lstm_base,ticker,TLT,0.5207547169811321,0.36168594250485875,530,False,
lstm_base,ticker,USO,0.5471698113207547,0.033203950280380444,530,False,
lstm_base,ticker,XLB,0.6188679245283019,4.9118951633364564e-08,530,False,
lstm_base,ticker,XLC,0.6245283018867924,1.071587756778677e-08,530,False,
lstm_base,ticker,XLE,0.45660377358490567,0.050518929050396254,530,False,
lstm_base,ticker,XLF,0.5754716981132075,0.000587324328642638,530,False,
lstm_base,ticker,XLI,0.5735849056603773,0.0008079279332228282,530,False,
lstm_base,ticker,XLK,0.6132075471698113,2.0992944279464397e-07,530,False,
lstm_base,ticker,XLP,0.46226415094339623,0.0901607771535178,530,False,
lstm_base,ticker,XLRE,0.5509838998211091,0.01777938776704117,559,False,
lstm_base,ticker,XLU,0.47227191413237923,0.20444823424215558,559,False,
lstm_base,ticker,XLV,0.5420393559928444,0.05160646632626204,559,False,
lstm_base,ticker,XLY,0.5348837209302325,0.10792100753892382,559,False,
lstm_base,regime,crisis,0.5225666122892877,0.05582685358637315,1839,False,
lstm_base,regime,neutral,0.5222400857449089,0.006906720935851373,3732,False,
lstm_base,regime,risk_off,0.5357653791130186,0.008079519353584799,1398,False,
lstm_base,regime,risk_on,0.514324693042292,0.08580205585817534,3665,False,
lstm_regime,year,2023,0.554016620498615,0.004130256311055905,722,False,
lstm_regime,year,2024,0.5215968586387435,0.0036135194674177533,4584,False,
lstm_regime,year,2025,0.5279612505504183,0.00017339268762603605,4542,False,
lstm_regime,year,2026,0.5310936383130808,0.021456390423863027,1399,False,
lstm_regime,ticker,DBA,0.4981132075471698,0.9653584535826497,530,False,
lstm_regime,ticker,GLD,0.30754716981132074,4.2504096485587325e-19,530,True,hit_rate < 0.45
lstm_regime,ticker,HYG,0.35471698113207545,2.195097268088789e-11,530,True,hit_rate < 0.45
lstm_regime,ticker,IEF,0.49245283018867925,0.7611149003785574,530,False,
lstm_regime,ticker,IWM,0.5358490566037736,0.10792774315532853,530,False,
lstm_regime,ticker,LQD,0.4830188679245283,0.46028374647481085,530,False,
